Hybridization REF	TCGA-09-0364-01A-02R-0363-07	TCGA-09-0366-01A-01R-0363-07	TCGA-09-0367-01A-01R-0363-07	TCGA-09-0369-01A-01R-0363-07	TCGA-13-0714-01A-01R-0363-07	TCGA-13-0717-01A-01R-0363-07	TCGA-13-0723-01A-02R-0363-07	TCGA-13-0724-01A-01R-0363-07	TCGA-13-0725-01A-01R-0363-07	TCGA-13-0726-01A-01R-0363-07	TCGA-13-0727-01A-01R-0363-07	TCGA-13-0730-01A-01R-0363-07	TCGA-13-0757-01A-01R-0363-07	TCGA-13-0760-01A-01R-0363-07	TCGA-13-0761-01A-01R-0363-07	TCGA-13-0762-01A-01R-0363-07	TCGA-13-0764-01A-03R-0363-07	TCGA-13-0768-01A-01R-0363-07	TCGA-13-0791-01A-01R-0363-07	TCGA-13-0792-01A-01R-0363-07	TCGA-13-0793-01A-01R-0363-07	TCGA-13-0794-01A-01R-0363-07	TCGA-13-0795-01A-01R-0363-07	TCGA-13-0800-01A-01R-0363-07	TCGA-13-0801-01A-01R-0363-07	TCGA-13-0802-01A-01R-0363-07	TCGA-13-0803-01A-01R-0363-07	TCGA-13-0804-01A-01R-0363-07	TCGA-13-0805-01A-01R-0363-07
RXFP3	0.288666666666667	-0.250333333333333	0.307666666666667	-0.0373333333333333	0.503333333333333	0.193	0.16	0.305	-0.271666666666667	0.26	0.203333333333333	0.0433333333333333	0.414	0.0646666666666667	0.366	0.279666666666667	0.422	0.148	0.732	0.085	0.839666666666667	0.175	0.498	0.06	0.104333333333333	0.172333333333333	0.725666666666667	0.195666666666667	0.496666666666667
APBB2	0.3592	-0.407	0.307	1.3324	0.8572	-0.3656	-0.568	0.876	0.9266	-0.4016	-1.3444	1.9532	0.4302	-0.321	-0.366	0.6972	-0.0608	0.654	-0.1772	-0.5062	-0.5168	-0.8482	0.6446	0.2634	-2.4268	0.779	-0.0066	0.6462	-0.4094
PRO0478	-0.803	-0.113727272727273	-1.489	-0.698909090909091	-0.460636363636364	-0.306181818181818	-0.425181818181818	0.212909090909091	-0.354	-0.0573636363636364	-0.269636363636364	-0.259454545454545	-0.981636363636364	-0.654636363636364	-1.19690909090909	0.355090909090909	-0.724636363636364	0.163	-0.734181818181818	-1.02572727272727	-0.138363636363636	-0.771272727272727	-0.341818181818182	-0.875363636363636	-1.24745454545455	-1.30718181818182	-0.00254545454545451	0.0697272727272727	-0.994818181818182
KLHL13	-1.4982	0.4094	-0.032	-0.5808	-3.254	-3.4414	-1.3204	-2.8192	-2.142	-2.6796	-3.1118	0.743	-1.2432	-3.555	-1.5972	-2.8848	-3.4722	-1.298	-1.3728	-2.6212	-3.1312	-3.3692	-3.4066	-1.5112	-2.616	-1.3968	-3.0768	-3.6732	-3.1786
PRSSL1	-0.589375	-0.768	-0.20425	-0.7295	-0.0211250000000001	-0.593625	-0.4485	-0.507	-0.837125	-0.172	-0.30475	-0.91025	0.275	-0.12575	-0.520875	-0.540625	-0.150875	-0.304375	0.08325	0.043875	-0.0873749999999999	-0.190875	-0.0708750000000001	-0.57575	0.0925	-0.68375	-0.278	0.83375	0.8365
PDCL3	0.2235	0.5305	-0.290625	0.207	0.15475	-0.2575	0.728625	0.2265	-0.60025	0.2485	0.194375	0.33525	0.05325	-0.37475	0.479625	-0.36325	-0.0665	0.940375	0.388	0.39375	0.13575	0.335875	-0.5425	1.53175	0.383875	-0.0465	-0.345375	-0.031125	0.206625
DECR1	-0.9351	-0.6678	-0.9458	-0.3532	-0.5243	-2.2445	-1.6311	-1.0191	0.0445	-0.0231	-1.7662	-0.6486	-1.2077	-0.553	-0.1217	-2.923	-0.7568	-0.5553	-0.9182	-0.7797	-1.1805	-0.6052	-2.1331	-0.3532	-0.2608	-0.4301	-1.4863	-1.3739	-0.4444
SALL1	-0.19425	-3.380625	-5.07575	-4.556375	-4.27675	-2.533	-2.920125	-4.89875	-4.167625	-3.465	-4.48825	1.19225	-1.2155	-4.353	-3.479625	-4.350625	-4.88428571428571	-4.5045	-4.008	-4.25657142857143	-3.82525	-3.128875	-3.36775	0.975375	-4.5365	0.9265	-4.57585714285714	-4.2135	-4.588125
CADM4	0.789125	0.070375	0.27025	1.286625	0.458125	0.747625	-0.0435	-0.204375	0.48175	0.38175	0.233625	0.77175	1.26525	-0.19475	0.683875	0.452875	0.463	-0.288375	0.449125	-0.017625	0.349375	0.402625	0.095	0.460125	0.998875	0.99125	0.408	-0.2845	0.664875
RPS18	1.41647368421053	-0.130631578947368	1.32542105263158	-0.46	0.757789473684211	1.21794736842105	0.296052631578947	1.61289473684211	-0.217736842105263	-0.839105263157895	0.990052631578947	-0.197157894736842	1.34778947368421	0.353421052631579	1.22368421052632	1.02457894736842	1.45778947368421	-0.108157894736842	1.01263157894737	2.24463157894737	1.336	0.931894736842105	1.45489473684211	0.894263157894737	0.589789473684211	0.199842105263158	0.88078947368421	0.722736842105263	1.54578947368421
HNRPD	-0.115866666666667	-1.0262	-0.832666666666667	-0.339	-1.3864	-1.62793333333333	-0.372533333333333	-1.1964	-0.326666666666667	-1.3198	-0.837666666666667	-0.561333333333333	-1.34513333333333	-0.730066666666667	-0.605066666666667	-2.051	-1.0536	-1.21673333333333	-1.28333333333333	-1.9958	-2.0562	-0.562666666666667	-1.88086666666667	-0.388266666666667	-1.01006666666667	0.00686666666666666	-1.9712	-1.34433333333333	-1.58953333333333
CFHR5	0.776833333333333	0.22925	0.108	-0.337571428571429	0.029	0.183333333333333	0.609833333333333	-0.1135	0.330166666666667	0.155571428571429	-0.00737499999999998	0.00385714285714286	-0.238375	0.206857142857143	0.238375	-0.5265	1.70957142857143	-0.298571428571429	0.398875	-0.2605	0.172875	0.457	-1.456875	0.385333333333333	-0.761875	-0.08925	0.438	0.179625	-0.229625
SLC10A7	-0.277	-0.478272727272727	-0.259090909090909	0.220636363636364	-0.329818181818182	-1.14327272727273	-0.371181818181818	-0.457454545454545	-0.678090909090909	-0.124636363636364	-0.651363636363636	-0.648181818181818	-0.517272727272727	-0.0720909090909091	-0.221545454545455	-0.854181818181818	-0.293363636363636	-0.619363636363636	0.257818181818182	-0.538	-0.785818181818182	0.116454545454545	-0.688090909090909	-0.545818181818182	-0.126363636363636	-0.3	-0.667636363636364	-0.484	-0.867363636363636
OR2K2	0.660333333333333	0.767333333333333	0.766666666666667	-0.180333333333333	0.743666666666667	1.154	-0.0276666666666667	0.630333333333333	0.361	0.525666666666667	0.450666666666667	0.286	0.424666666666667	0.268333333333333	0.700333333333333	0.619333333333333	0.172333333333333	0.043	0.384333333333333	0.608333333333333	0.310666666666667	0.847	0.482	0.355333333333333	0.549333333333333	0.393333333333333	0.895666666666667	0.358333333333333	0.8
LMAN1	-1.45545454545455	-0.512090909090909	-1.07172727272727	-0.569363636363636	-1.237	-0.991090909090909	-0.861	-1.50718181818182	-0.770272727272727	-1.71	-2.17027272727273	-1.40672727272727	-0.755545454545455	-0.412181818181818	-0.693	-0.413	-0.914818181818182	-0.935545454545454	-1.66527272727273	-1.20845454545455	-1.57054545454545	-0.645636363636364	-1.67981818181818	-1.73118181818182	-0.850272727272727	-1.10763636363636	-1.87627272727273	-1.61736363636364	-1.48245454545455
SUHW1	-1.2578	-1.8374	-2.1272	-2.0092	-1.4982	-1.3346	-1.5178	-1.5032	-2.5788	-2.4834	-1.8364	-1.5364	-0.9064	-0.4784	-1.3592	-1.6086	-1.31	-1.6608	-1.891	-2.3352	-1.7448	-1.544	-1.6588	-1.4322	-1.189	-1.1344	-1.9182	-2.3372	-1.422
CHD8	0.294769230769231	-0.217615384615385	-0.283846153846154	-0.467692307692308	0.0705384615384615	-0.643923076923077	-0.796769230769231	0.0506153846153846	-0.564461538461538	-0.930076923076923	-0.608769230769231	1.15061538461538	-0.967538461538461	0.392846153846154	-0.506	0.360846153846154	-0.259461538461538	0.445769230769231	-0.527923076923077	-0.636153846153846	0.136	-0.422615384615385	-0.240692307692308	0.119615384615385	-0.440461538461538	-0.208153846153846	0.226461538461538	0.172	0.112923076923077
SUMO1	0.609923076923077	0.348	0.470384615384615	0.316615384615385	0.225692307692308	-0.282153846153846	0.186538461538462	0.468153846153846	0.691846153846154	0.982615384615385	0.485384615384615	0.817307692307692	0.733307692307692	0.740307692307692	0.764615384615385	0.149230769230769	0.170692307692308	0.602692307692308	1.21630769230769	0.277076923076923	1.496	0.191384615384615	0.0610769230769231	1.15253846153846	0.480153846153846	0.688384615384615	0.644230769230769	0.119769230769231	0.800615384615384
GP1BA	0.208076923076923	0.117	0.421923076923077	0.388769230769231	0.406	0.296538461538462	0.562230769230769	0.219384615384615	0.221769230769231	0.138076923076923	0.14	0.0844615384615384	0.220384615384615	0.395307692307692	0.319461538461539	0.226846153846154	0.422384615384615	0.411461538461538	0.208384615384615	0.387692307692308	0.300153846153846	0.00146153846153846	0.174769230769231	0.0271538461538462	0.376615384615385	0.196615384615385	0.426230769230769	0.109	0.168230769230769
